Date,Price
2024-03-14,11500
2024-03-15,11500
2024-03-16,11500
2024-03-18,11500
2024-03-19,11500
2024-03-20,12500
2024-03-21,12000
2024-03-22,12000
2024-03-25,11500
2024-03-26,12000
2024-03-27,3500
2024-03-28,4000
2024-03-30,12000
2024-04-01,11500
2024-04-02,11500
2024-04-03,12000
2024-04-04,11500
2024-04-05,12000
2024-04-06,12000
2024-04-08,11500
2024-04-15,11500
2024-04-16,12000
2024-04-17,11500
2024-04-18,11500
2024-04-19,12000
2024-04-20,11500
2024-04-22,12000
2024-04-23,12000
2024-04-24,12000
2024-04-25,11500
2024-04-26,11500
2024-04-29,12000
2024-04-30,11500
2024-05-02,11000
2024-05-03,12000
2024-05-06,11000
2024-05-07,12000
2024-05-08,12000
2024-05-09,11000
2024-05-13,11000
2024-05-14,11500
2024-05-15,12000
2024-05-16,11000
2024-05-17,11000
2024-05-18,12000
2024-05-20,12000
2024-05-21,11000
2024-05-22,11000
2024-05-23,11000
2024-05-24,11000
2024-05-27,12000
2024-05-28,10000
2024-05-29,11000
2024-05-30,11000
2024-05-31,10000
2024-06-01,11000
2024-06-03,10000
2024-06-04,10000
2024-06-05,11000
2024-06-06,10000
2024-06-07,10000
2024-06-11,10000
2024-06-12,11500
2024-06-13,11500
2024-06-14,10000
2024-06-15,11000
2024-06-18,10000
2024-06-19,10000
2024-06-20,12000
2024-06-21,10000
2024-06-24,11000
2024-06-25,11000
2024-06-26,11000
2024-06-27,11000
2024-06-28,11000
2024-06-29,10000
2024-07-01,12000
2024-07-02,10000
2024-07-03,10000
2024-07-04,12000
2024-07-05,10000
2024-07-06,12000
2024-07-08,10000
2024-07-09,10000
2024-07-10,10000
2024-07-11,12000
2024-07-12,11500
2024-07-15,11000
2024-07-16,12000
2024-07-18,12000
2024-07-19,10000
2024-07-20,11500
2024-07-22,12000
2024-07-23,12000
2024-07-24,12000
2024-07-25,11000
2024-07-26,11000
